Implementation        ,n=5000   ,n=10000  ,n=20000  ,n=30000  ,n=50000  ,n=70000  ,n=100000
Parallel Merge Sort   ,0.038774 ,0.039526 ,0.054105 ,0.062515 ,0.088261 ,0.107119 ,0.135602
Sequential Merge Sort ,0.009204 ,0.019422 ,0.041291 ,0.063388 ,0.110181 ,0.159517 ,0.235701
