Implementation, n=500, n=1000, n=2500, n=5000, n=10000
Cython,0.000489,0.001887,0.001886,0.001887,0.001883
PyPy,0.000888,0.003654,0.022404,0.097439,0.397193
CPython,0.005055,0.020546,0.133325,0.549827,2.254887
Jython,0.01,0.026,0.117,0.413,1.707
